source,source_category,recipe,target_category
Indian(ish) - Priya Krishna,Beans and Lentils,The Most Basic Dal,"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Beans and Lentils,Priya's Dal,"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Beans and Lentils,Shortcut Chhole (Chickpea and Tomato Stew),"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Desserts,Quinoa Kheer,Desserts
Indian(ish) - Priya Krishna,Desserts,Boozy Strawberries,Desserts
Cook This Book - Molly Baz,Snack Attack,Smoked Trout Dip with Crinkle-cut Crisps & Salmon Roe,Snacks
Cook This Book - Molly Baz,Salading,Ants on a Log Cel Sal,Salads
Cook This Book - Molly Baz,Seafood,Crispy Buttered Prawns with 20 Cloves of Garlic,Seafood Mains
Cook This Book - Molly Baz,Noods,Orzo al Limone,Pasta
Cook This Book - Molly Baz,Noods,Paccheri with Pork & Lentil Ragu,Pasta
