source,source_category,recipe,target_category
Indian(ish) - Priya Krishna,Beans and Lentils,The Most Basic Dal,"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Beans and Lentils,Priya's Dal,"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Beans and Lentils,Shortcut Chhole (Chickpea and Tomato Stew),"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Beans and Lentils,Indian Ribollita,"Soups, Stews and Lentils"
Indian(ish) - Priya Krishna,Grains and Noodles,Malaysian Ramen,Noodles and Grains
Indian(ish) - Priya Krishna,Grains and Noodles,Rice Noodle Poha,Noodles and Grains
Indian(ish) - Priya Krishna,Grains and Noodles,Tomato Rice with Crispy Cheddar,Noodles and Grains
Indian(ish) - Priya Krishna,Desserts,Quinoa Kheer,Desserts
Indian(ish) - Priya Krishna,Desserts,Boozy Strawberries,Desserts
Indian(ish) - Priya Krishna,Desserts,Eggless Pineapple Cake,Desserts
Indian(ish) - Priya Krishna,Drinks,Sweet Lassi,Drinks
Indian(ish) - Priya Krishna,Drinks,South Indian Yoghurt Cooler,Drinks
Indian(ish) - Priya Krishna,Drinks,Shikanji,Drinks
Indian(ish) - Priya Krishna,Drinks,Ginger-Pepper Chai,Drinks
Indian(ish) - Priya Krishna,One Chicken and Three Fish Recipes,Kachumber Tilapia,Seafood Mains
Cook This Book - Molly Baz,Chicken Licken,Pastrami Roast Chicken with Schmaltzy Onions & Dill,Chicken Mains
Cook This Book - Molly Baz,Chicken Licken,Hot'n'Crispy Chicken Cutlets with Kimchi Ranch,Chicken Mains
Cook This Book - Molly Baz,Chicken Licken,"Milk-Braised Chicken with Bacon, Beans & Cavolo Nero",Chicken Mains
Cook This Book - Molly Baz,Chicken Licken,"Spiced, Grilled & Swaddled Chicken Thighs with the Works",Chicken Mains
Cook This Book - Molly Baz,Seafood,Coconut Prawns with Crushed Chickpeas & Basil,Seafood Mains
Cook This Book - Molly Baz,Seafood,Crispy Buttered Prawns with 20 Cloves of Garlic,Seafood Mains
Cook This Book - Molly Baz,Noods,Chorizo & Chickpea Carbonara,Pasta
Cook This Book - Molly Baz,Noods,Orzo al Limone,Pasta
Cook This Book - Molly Baz,Noods,Paccheri with Pork & Lentil Ragu,Pasta
Cook This Book - Molly Baz,Soup,Golden Get-Well Soup,"Soups, Stews and Lentils"
Cook This Book - Molly Baz,Snack Attack,Tomato Toast with Cheddar & Smoky Mayo,Snacks
Cook This Book - Molly Baz,Snack Attack,Smoked Trout Dip with Crinkle-cut Crisps & Salmon Roe,Snacks
Cook This Book - Molly Baz,Baking,Blueberry Cornflake Crisp,Desserts
Cook This Book - Molly Baz,Baking,Peach & Burnt Honey Cobbler with Cold Cream,Desserts
Cook This Book - Molly Baz,Salading,Ants on a Log Cel Sal,Salads
